Ryzen 7 9800X3D,100.00,88.1,58.3
Ryzen 7 7800X3D,87.18,77.5,43.5
Ryzen 9 7950X3D,85.75,86.1,84.4
Ryzen 5 7600X3D,81.30,73.9,32.8
Ryzen 9 7900X3D,79.94,84.6,63.6
Core i9-14900K,77.10,97.1,82.6
Ryzen 7 9700X,76.74,90.1,55.9
Ryzen 9 9950X,76.67,94.0,100
Core i7-14700K,75.76,91.4,73.1
Core i9-13900K,75.40,91.1,80.7
Core i7-13700K,74.94,88.4,64.8
Core 9 285K,74.17,100,95.6 | 95.0
Ryzen 9 9900X,74.09,92.6,78.2
Ryzen 5 9600X,72.81,90.6,
Ryzen 9 7950X,71.65,86.2,89.0
Core 7 265K,70.77,97.3,82.6
Core i5-14600K,70.61,87.0,52.7
Core i5-13600K,68.64,83.9,51.7
Ryzen 9 7900X,69.71,85.8,69.0
Ryzen 7 7700X,68.33,83.4,47.0
Ryzen 7 5700X3D,67.46,61.1,32.0
Core 5 245K,67.39,93.7,57.3 | 56.9
Core i9-12900K,66.92,81.5,59.1
Ryzen 5 7600X,65.62,84.2,36.2
Core i7-12700K,63.06,81.2,50.3
Core i5-12600K,58.61,79.7,38.4
Core i5-14400,52.67,76.6,35.3
