"Qualcomm Adreno™ 630","47.7"
"ARM Mali-G57","46.1"
"ARM Mali-G76 MC4","42.2"
"Qualcomm Adreno™ 619","40.8"
"Qualcomm Adreno™ 618","37.6"
"Qualcomm Adreno™ 540","37.5"
"ARM Mali-G72 MP3","37.0"
"Imagination Technologies PowerVR Rogue Marlowe","35.6"
"ARM Mali-G57 MC2","34.4"
"Qualcomm Adreno™ 610","32.0"
"Qualcomm Adreno™ 530","31.6"
"ARM Mali-G68 MC4","29.8"
"ARM Mali-G72","29.4"
"Qualcomm Adreno™ 616","28.0"
"NVIDIA® Tegra® X1","27.5"
"Imagination Technologies PowerVR Rogue GX6650","27.0"
"ARM Mali-T880 MP12 (dodeca core)","25.4"
"ARM Mali-G52 MC1","24.5"
"Qualcomm Adreno™ 512","22.3"
"NVIDIA® Tegra® K1","20.8"
"NVIDIA Corporation NVIDIA Tegra","20.5"
"ARM Mali-G52 MC2","20.2"
"ARM Mali-G52","18.3"
"Imagination Technologies PowerVR Rogue GE8320","18.2"
"Qualcomm Adreno™ 702","17.9"
"Qualcomm Adreno™ 430","17.6"
"Qualcomm Adreno™ 615","17.5"
"ARM Mali-G71","17.2"
"Qualcomm Adreno™ 612","15.2"
"Qualcomm Adreno™ 508","14.6"
"Qualcomm Adreno™ 509","14.4"
"Qualcomm Adreno™ 510","14.2"
"ARM Mali-T760 MP8 (octa core)","13.5"
"Qualcomm Adreno™ 418","13.0"
"ARM Mali-T880 MP4 (quad core)","13.0"
"Vivante Corporation Vivante GC7000XSVX","11.4"
"Qualcomm Adreno™ 330","10.9"
"Qualcomm Adreno™ 205","10.9"
"ARM Mali-T880","10.5"
"Qualcomm Adreno™ 420","10.4"
"ARM Mali-T880 MP2 (dual core)","10.1"
"Qualcomm Adreno™ 506","9.6"
"Imagination Technologies PowerVR Rogue GX6250","9.5"
"ARM Mali-G51","9.5"
"ARM Mali-T760 MP6 (hexa core)","9.3"
"ARM Mali-T624 MP4 (quad core)","8.6"
"ARM Mali-T830","8.4"
"Imagination Technologies PowerVR Rogue GE8300","8.1"
"ARM Mali-T760","8.0"
"ARM Mali-T860","7.8"
"Qualcomm Adreno™ 505","7.5"
"ARM Mali-T622","7.3"
"ARM Mali-T860 MP2 (dual core)","7.2"
"ARM Mali-T628 MP2 (dual core)","7.1"
"Imagination Technologies PowerVR Rogue G6200","7.1"
"ARM Mali-T764","6.9"
"Imagination Technologies PowerVR Rogue G6400","6.8"
"ARM Mali-G31","6.7"
"Vivante Corporation Vivante GC2000+","6.6"
"Vivante Corporation Vivante GC5000","6.5"
"Vivante Corporation Vivante GC7000XS","6.4"
"ARM Mali-T628 MP6 (hexa core)","6.4"
"Imagination Technologies PowerVR Rogue G6230","6.4"
"ARM Mali-T628","6.2"
"ARM Mali-T820","6.1"
"Qualcomm Adreno™ 405","6.0"
"ARM Mali-T624","6.0"
"Imagination Technologies PowerVR Rogue Han","5.8"
"VIA Alliance(Zhaoxin) Semiconductor Co. Ltd Elite Series","5.8"
"Qualcomm Adreno™ 308","5.7"
"Qualcomm Adreno™ 320","5.4"
"Imagination Technologies PowerVR Rogue G6430","5.5"
"Imagination Technologies PowerVR Rogue GE8100","5.0"
"Vivante Corporation GC4000 core","4.9"
"Imagination Technologies PowerVR Rogue G6110","4.9"
"ARM Mali-T720","4.6"
"ARM Mali-T624 MP2 (dual core)","4.6"
"Vivante Corporation Vivante GC5200","4.5"
"Broadcom VideoCore V HW (V3D-520)","4.4"
"Qualcomm Adreno™ 304","4.2"
"Qualcomm Adreno™ 305","4.0"
"Qualcomm Adreno™ 306","3.9"
"Vivante Corporation Vivante GC3000","3.8"
"Vivante Corporation PXA1928 GPU","3.8"
"Broadcom VideoCore V HW (V3D-530)","3.7"
"ARM Mali-T604 MP4 (quad core)","3.1"
"Broadcom VideoCore V HW (V3D-510)","3.1"
"Vivante Corporation Vivante GC7000L","2.9"
"Vivante Corporation Vivante GC7000UL","1.9"
"Vivante Corporation GC2000 core","1.7"
"Vivante Corporation GC880 core","1.4"
"ARM Mali-400 MP2 (dual core)","0.00"
"ARM Mali-400 MP4 (quad core)","0.00"
"MediaTek Inc. Sapphire 650","0.00"
"Qualcomm Adreno™ 640","58.8"
"ARM Mali-G77","57.7"
"ARM Mali-G68","56.4"
"ARM Mali-G76","54.0"
"Qualcomm Adreno™ 620","49.1"
"ARM Mali-G57 MC3","48.0"
"ARM Mali-G715-Immortalis MC11","120.5"
"Qualcomm Adreno™ 750","120.1"
"ARM Mali-G720-Immortalis MC12","120.0"
"Qualcomm Adreno™ 740","117.6"
"Qualcomm Adreno™ 720","98.4"
"Qualcomm Adreno™ 660","90.7"
"ARM Mali-G78","86.3"
"Qualcomm Adreno™ 650","83.3"
"Qualcomm Adreno™ 730","81.4"
"Samsung Electronics Co., Ltd. ANGLE (Samsung Xclipse 920)","72.6"
"Qualcomm Adreno™ 642L","62.1"
"Qualcomm Adreno™ 644","59.9"
"ARM Mali-G610 MC6","59.8"
"ARM Mali-G77 MC9","59.4"
