GeForce RTX 4090," 154.1fps"," 195.7fps"," 146.1fps"," 114.5fps", "471.8 fps"
Radeon RX 7900 XTX," 149.0fps"," 190.3fps"," 135.3fps"," 95.1fps", "388.7 fps"
GeForce RTX 4080 Super," 148.3fps"," 192.7fps"," 133.0fps"," 91.9fps", "321.2 fps"
GeForce RTX 4080," 147.0fps"," 192.0fps"," 130.4fps"," 89.3fps", "318.7 fps"
Radeon RX 7900 XT," 143.9fps"," 187.6fps"," 125.9fps"," 81.2fps", "303.7 fps"
GeForce RTX 4070 Ti Super," 142.3fps"," 189.4fps"," 122.0fps"," 78.6fps", "263.2 fps"
GeForce RTX 4070 Ti," 138.3fps"," 187.2fps"," 116.5fps"," 73.0fps", "238.4 fps"
Radeon RX 7900 GRE," 135.8fps"," 184.3fps"," 113.9fps"," 69.3fps", "247.1 fps"
GeForce RTX 4070 Super," 134.2fps"," 185.1fps"," 109.8fps"," 66.1fps", "214.9 fps"
Radeon RX 6950 XT," 130.5fps"," 179.4fps"," 110.1fps"," 67.1fps", "297.5 fps"
GeForce RTX 3090 Ti," 130.5fps"," 177.1fps"," 112.7fps"," 75.9fps", "265.1 fps"
Radeon RX 7800 XT," 129.3fps"," 179.1fps"," 105.8fps"," 62.3fps", "229.0 fps"
GeForce RTX 3090," 125.5fps"," 174.0fps"," 106.0fps"," 70.7fps", "227.9 fps"
Radeon RX 6900 XT," 124.6fps"," 175.3fps"," 102.1fps"," 61.2fps", "283.0 fps"
GeForce RTX 3080 Ti," 123.9fps"," 171.8fps"," 103.9fps"," 68.8fps", "229.8 fps"
Radeon RX 6800 XT," 122.7fps"," 173.2fps"," 99.0fps"," 57.9fps", "248.8 fps"
GeForce RTX 3080 12GB," 122.1fps"," 169.4fps"," 102.3fps"," 66.7fps",
GeForce RTX 4070," 122.0fps"," 177.5fps"," 97.8fps"," 57.2fps", "187.6 fps"
GeForce RTX 3080," 117.0fps"," 167.6fps"," 96.4fps"," 62.0fps", "204.3 fps"
Radeon RX 7700 XT," 116.1fps"," 171.6fps"," 92.7fps"," 51.5fps", "169.6 fps"
Radeon RX 6800," 114.6fps"," 168.7fps"," 89.2fps"," 50.7fps", "211.6 fps"
GeForce RTX 3070 Ti," 104.0fps"," 159.8fps"," 82.8fps"," 47.7fps", "171.5 fps"
Radeon RX 6750 XT," 102.9fps"," 161.6fps"," 77.2fps"," 42.8fps", "171.8 fps"
GeForce RTX 4060 Ti 16GB," 100.6fps"," 161.7fps"," 75.7fps"," 41.6fps",
GeForce RTX 4060 Ti," 100.4fps"," 160.1fps"," 75.6fps"," 39.6fps", "128.7 fps"
Titan RTX," 99.3fps"," 156.6fps"," 79.5fps"," 47.8fps", "167.8 fps"
Radeon RX 6700 XT," 99.1fps"," 158.1fps"," 73.4fps"," 40.4fps", "162.4 fps"
GeForce RTX 3070," 98.8fps"," 154.8fps"," 77.7fps"," 44.4fps", "147.9 fps"
GeForce RTX 2080 Ti," 96.3fps"," 151.0fps"," 75.6fps"," 43.5fps", "156.4 fps"
Radeon RX 7600 XT," 91.9fps"," 151.2fps"," 65.9fps"," 37.1fps", "117.8 fps"
GeForce RTX 3060 Ti," 90.7fps"," 146.9fps"," 70.0fps",, "128.4 fps"
Radeon RX 6700 10GB," 86.1fps"," 145.7fps"," 62.8fps"," 32.9fps",
GeForce RTX 2080 Super," 86.0fps"," 141.3fps"," 66.1fps"," 36.7fps", "128.7 fps"
GeForce RTX 4060," 84.9fps"," 142.3fps"," 61.2fps"," 31.9fps", "108.1 fps"
GeForce RTX 2080," 82.5fps"," 136.7fps"," 63.2fps",, "121.6 fps"
Radeon RX 7600," 82.0fps"," 141.4fps"," 57.3fps"," 29.1fps", "115.5 fps"
Radeon RX 6650 XT," 77.7fps"," 137.1fps"," 54.5fps",, "118.3 fps"
GeForce RTX 2070 Super," 77.4fps"," 129.6fps"," 58.4fps",, "113.1 fps"
Intel Arc A770 16GB," 76.9fps"," 116.4fps"," 59.8fps"," 35.3fps",
Intel Arc A770 8GB," 75.3fps"," 115.5fps"," 57.5fps"," 33.2fps",
Radeon RX 6600 XT," 74.7fps"," 133.5fps"," 52.2fps",, "115.1 fps"
Radeon RX 5700 XT," 73.3fps"," 124.9fps"," 53.1fps"," 29.3fps", "114.2 fps"
Radeon RX 5700 XT," 73.3fps"," 124.9fps"," 53.1fps"," 29.3fps", "87.1 fps"
GeForce RTX 3060," 72.3fps"," 121.0fps"," 54.0fps",, "95.4 fps"
Intel Arc A750," 70.8fps"," 110.4fps"," 53.7fps"," 31.1fps",
GeForce RTX 2070," 69.8fps"," 119.1fps"," 51.8fps",, "94.6 fps"
Radeon VII," 69.5fps"," 113.9fps"," 53.0fps"," 31.5fps", "122.3 fps"
GeForce GTX 1080 Ti," 66.4fps"," 110.2fps"," 50.2fps"," 29.5fps", "112.2 fps"
GeForce RTX 2060 Super," 65.5fps"," 112.0fps"," 48.3fps",, "94.5 fps"
Radeon RX 6600," 65.2fps"," 116.2fps"," 44.8fps",, "91.7 fps"
Intel Arc A580," 65.1fps"," 101.1fps"," 48.8fps"," 27.9fps",
Radeon RX 5700," 64.5fps"," 110.8fps"," 46.7fps",, "99.3 fps"
Radeon RX 5600 XT," 57.8fps"," 100.0fps"," 42.0fps",, "91.0 fps"
Radeon RX Vega 64," 56.7fps"," 94.3fps"," 41.6fps"," 23.5fps",
GeForce RTX 2060," 55.5fps"," 100.5fps"," 40.1fps",, "82.1 fps"
GeForce GTX 1080," 53.0fps"," 89.9fps"," 39.4fps",, "84.7 fps"
GeForce RTX 3050," 51.9fps"," 88.8fps"," 38.5fps",, "50.8 fps"
GeForce GTX 1070 Ti," 51.1fps"," 85.7fps"," 37.9fps",, "76.0 fps"
Radeon RX Vega 56," 50.6fps"," 84.2fps"," 37.0fps",,
GeForce GTX 1660 Super," 46.8fps"," 85.5fps"," 33.3fps",, "65.3 fps"
GeForce GTX 1660 Ti," 46.6fps"," 84.8fps"," 33.3fps",, "67.9 fps"
GeForce GTX 1070," 44.7fps"," 75.0fps"," 33.1fps",, "68.8 fps"
GeForce GTX 1660," 42.6fps"," 77.8fps"," 30.3fps",, "57.6 fps"
Radeon RX 5500 XT 8GB," 39.7fps"," 72.1fps"," 28.2fps",,
Radeon RX 590," 39.3fps"," 68.5fps"," 29.0fps",,
GeForce GTX 980 Ti," 35.9fps"," 62.6fps"," 26.6fps",, "66.3 fps"
Radeon RX 580 8GB," 35.3fps"," 61.7fps"," 26.0fps",,
Radeon R9 Fury X," 35.2fps"," 63.8fps",,,
GeForce GTX 1650 Super," 33.9fps"," 67.7fps"," 21.2fps",, "51.0 fps"
Radeon RX 5500 XT 4GB," 33.3fps"," 66.8fps",,,
GeForce GTX 1060 6GB," 32.1fps"," 57.7fps"," 23.0fps",, "47.4 fps"
Radeon RX 6500 XT," 30.6fps"," 65.8fps"," 18.0fps",, "57.2 fps"
Radeon R9 390," 29.8fps"," 51.1fps",,,
GeForce GTX 980," 28.9fps"," 53.6fps",,, "49.4 fps"
GeForce GTX 1650 GDDR6," 28.8fps"," 56.6fps",,,
Intel Arc A380," 28.4fps"," 54.3fps"," 19.5fps",,
Radeon RX 570 4GB," 28.1fps"," 53.6fps"," 19.9fps",,
GeForce GTX 1650," 27.0fps"," 51.3fps",,, "38.2 fps"
GeForce GTX 970," 26.5fps"," 49.0fps",,, "42.1 fps"
Radeon RX 6400," 24.1fps"," 51.1fps",,, "41.7 fps"
GeForce GTX 1050 Ti," 19.8fps"," 38.0fps",,, "27.0 fps"
GeForce GTX 1060 3GB,," 52.5fps",,, "44.3 fps"
GeForce GTX 1630," 16.9fps"," 33.8fps",,, "23.7 fps"
Radeon RX 560 4GB," 14.7fps"," 31.7fps",,,
GeForce GTX 1050,," 29.7fps",,, "21.5 fps"
Radeon RX 550 4GB,," 19.5fps",,,
GeForce GT 1030,," 14.6fps",,, "12.6 fps"
