"Apple M4 (10 cores)","97.1"
"Apple M4 (9 cores)","84.3"
"Apple M3","81.7"
"Qualcomm Snapdragon 8 Elite","73.6"
"Apple M2","66.3"
"Apple M1","62"
"Apple A18 Pro","77.2"
"Apple A17 Pro","63.5"
"Mediatek Dimensity 9400","62.3"
"Qualcomm Snapdragon 8 Gen 3 for Galaxy","61.6"
"Qualcomm Snapdragon 8 Gen 3","54.4"
"Apple A18","64.6"
"Apple A16 Bionic","57.6"
"MediaTek Dimensity 9300+","60.5"
"MediaTek Dimensity 9300","60.1"
"Samsung Exynos 2400","55.1"
"Samsung Exynos 2400e","56.6"
"Apple A15 Bionic","50"
"Qualcomm Snapdragon 8s Gen 3","41.9"
"Qualcomm Snapdragon 8 Gen 2 for Galaxy","51"
"Qualcomm Snapdragon 8 Gen 2","46.9"
"MediaTek Dimensity 9200+","41.9"
"MediaTek Dimensity 9200","43.2"
"Google Tensor G4","42"
"MediaTek Dimensity 9000+","33.5"
"MediaTek Dimensity 9000","36.5"
"Apple A12Z Bionic","43.7"
"Apple A12X Bionic","55.1"
"Apple A14 Bionic","44.7"
"Qualcomm Snapdragon 8+ Gen 1","44.3"
"Google Tensor G3","41.5"
"Qualcomm Snapdragon 8 Gen 1","43.3"
"Qualcomm Snapdragon 7+ Gen 3","30.1"
"Qualcomm Snapdragon 7+ Gen 2","37.3"
"Qualcomm Snapdragon G3x Gen 1","44.7"
"Qualcomm Snapdragon 888 Plus 5G","44.3"
"Qualcomm Snapdragon 888 5G","38.5"
"Qualcomm Snapdragon 888 4G","35.3"
"Samsung Exynos 2200","40.9"
"Apple A13 Bionic","49.8"
"HiSilicon Kirin 9010","39.6"
"MediaTek Dimensity 8300-Ultra","43.2"
"HiSilicon Kirin 9000","21.3"
"HiSilicon Kirin 9000E","17.5"
"Samsung Exynos 2100 5G","43.1"
"Qualcomm Snapdragon 870 5G","31.8"
"Qualcomm Snapdragon 865+ (Plus)","28.9"
"Qualcomm Snapdragon 865","44.2"
"Samsung Exynos 1480","32.1"
"Qualcomm Snapdragon 7 Gen 3","28.7"
"MediaTek Dimensity 8050","24.6"
"MediaTek Dimensity 1300","22.6"
"MediaTek Dimensity 8100","37.5"
"MediaTek Dimensity 1200","32.9"
"Apple A12 Bionic","42.1"
"Qualcomm Snapdragon 7 Gen 1","28"
"Qualcomm Snapdragon 7s Gen 2","24.9"
"Qualcomm Snapdragon 780G 5G","31.5"
"Google Tensor G2","41.2"
"MediaTek Dimensity 8200-Ultra","38.2"
"HiSilicon Kirin 9000W","38.3"
"Google Tensor","30.5"
"HiSilicon Kirin 990 5G","41.7"
"HiSilicon Kirin 990","36.4"
"Samsung Exynos 990","36.8"
"MediaTek Dimensity 8020","30.8"
"MediaTek Dimensity 7350 Pro 5G","27.5"
"MediaTek Dimensity 7300X","25.7"
"MediaTek Dimensity 7300","26.2"
"MediaTek Dimensity 7200","30.9"
"MediaTek Dimensity 1100","25"
"Qualcomm Snapdragon 860","21.8"
